case,pass,offset_x_mm,offset_z_mm,tilt_y_deg,friction,force_mean_error_n,force_max_error_n,tcp_mean_error_mm,tcp_max_error_mm,orientation_max_error_deg,learned_normal_max_deviation_deg,tcp_tilt_moment_max_nm,tilt_correction_max_deg,normal_correction_min_mm,normal_correction_max_mm,sigma_min,condition_max,max_actuator_torque_nm,saturation_ratio_percent
nominal,True,0.0,0.0,0.0,0.3,0.3231547730765226,2.7806988596331124,0.1927054026360201,1.0585550834950077,0.3578932851433903,0.36259730678175334,0.013819921843357891,0.01862784564953457,-0.0013658965078425555,0.7675025957516303,0.14002666479094164,13.401921451829486,39.86723377865588,0.0
offset_z_plus_1mm,True,0.0,1.0,0.0,0.3,0.31757075157897985,2.888378638454096,0.19110041710991657,1.0749894827934674,0.36148039977929747,0.3660742157801641,0.012430521908979779,0.019578975784645694,-1.0027010682935853,-0.12000419527811608,0.13996158680294216,13.407503597775836,39.891387190076095,0.0
offset_z_minus_1mm,True,0.0,-1.0,0.0,0.3,0.3191424602017973,2.6747856024213785,0.1929227820566879,1.0802147451264101,0.3613775406303416,0.36626523395388055,0.012792746928664523,0.01828249449951397,0.9974518500652303,1.6562409844534085,0.14007712423120067,13.397743127585835,39.841525150487705,0.0
offset_x_plus_1mm,True,1.0,0.0,0.0,0.3,0.31607143192614845,2.6489941083307196,0.19475455920909623,1.1203046280529343,0.35882323395470755,0.3637375897651845,0.01345334410685896,0.018372491679578124,-0.158131098832949,0.9958517424822815,0.14004028593472254,13.400874843922312,39.87259639144167,0.0
tilt_y_plus_1deg,True,0.0,0.0,1.0,0.3,0.32038982870267163,2.8297793186045674,0.19330254527355042,1.1180679507389897,0.35894654789238134,0.36239362153453897,0.015604033735481363,0.01841807478456648,-1.4209968760342386,2.1308558532914432,0.13991995753966413,13.411186602265898,39.83658443571299,0.0
friction_low_0p15,True,0.0,0.0,0.0,0.15,0.3231547730765226,2.7806988596331124,0.1927054026360201,1.0585550834950077,0.3578932851433903,0.36259730678175334,0.013819921843357891,0.01862784564953457,-0.0013658965078425555,0.7675025957516303,0.14002666479094164,13.401921451829486,39.86723377865588,0.0
friction_high_0p60,False,0.0,0.0,0.0,0.6,0.5286344929153212,7.075827990932044,0.2907468269728819,1.476350757398857,0.48327114325287074,0.4931211704463963,0.016423106854670723,0.019439331437941514,-0.001040461330439014,0.8046678359391146,0.13999196923354731,13.405387212636759,39.933366543099,0.0
