s_m,x_m,y_m,z_m,tx,ty,tz,nx,ny,nz
0.0,0.3454557796700857,-0.1957561185793954,1.0321462475294605,-0.33438762439732433,0.9424356299768776,0.0,0.9424356299768776,0.33438762439732433,0.0
0.00010221119704884671,0.3454237695247374,-0.1956653534811759,1.032138728945916,-0.33081940007719474,0.9436940841886023,0.0,0.9436940841886025,0.3308194000771948,0.0
0.00020442239409769342,0.3453916993805763,-0.19557332340441758,1.0321332531294072,-0.32756126818029885,0.9448299400358322,0.0,0.9448299400358322,0.32756126818029885,0.0
0.00030663359114654014,0.3453596806262777,-0.19548049307193088,1.0321317663042286,-0.32417169223966913,0.9459982631857572,0.0,0.9459982631857573,0.3241716922396692,0.0
0.00040884478819538684,0.3453279061573582,-0.19538716193562788,1.0321323852972315,-0.3203925948151587,0.9472848490225152,0.0,0.9472848490225153,0.32039259481515875,0.0
0.0005110559852442336,0.3452964993861104,-0.19529368903050964,1.0321336453783634,-0.3161416335730051,0.9487120045207564,0.0,0.9487120045207564,0.3161416335730051,0.0
0.0006132671822930803,0.3452655393048172,-0.1952000047395917,1.032135893417387,-0.3116622371863176,0.9501929540425038,0.0,0.9501929540425038,0.3116622371863176,0.0
0.000715478379341927,0.3452349034942946,-0.1951058960436861,1.032138194360563,-0.30641826568556463,0.9518969726048353,0.0,0.9518969726048354,0.3064182656855647,0.0
0.0008176895763907737,0.345204831847997,-0.1950114153151578,1.0321399793460964,-0.2994018208247133,0.9541271140088443,0.0,0.9541271140088444,0.29940182082471334,0.0
0.0009199007734396204,0.3451753473747167,-0.1949161039163774,1.032141394495186,-0.2927060496882897,0.9562024725317732,0.0,0.9562024725317733,0.2927060496882898,0.0
0.0010221119704884672,0.34514632451198846,-0.1948202854788862,1.032142031613253,-0.28760242141135917,0.9577498876002664,0.0,0.9577498876002665,0.2876024214113592,0.0
0.0011243231675373139,0.3451177017690113,-0.19472413726980314,1.032143205864269,-0.2813857581387274,0.9595947348316859,0.0,0.9595947348316859,0.2813857581387274,0.0
0.0012265343645861606,0.3450901190544614,-0.19462861102645992,1.032144215047122,-0.27540285506087175,0.9613289069950619,0.0,0.961328906995062,0.2754028550608718,0.0
0.0013287455616350073,0.34506284998245906,-0.19453267008983752,1.0321455605098162,-0.2699374903013161,0.9628778486027326,0.0,0.9628778486027326,0.2699374903013161,0.0
