controller,pass,scan_duration_s,force_mean_error_n,force_rmse_n,force_max_error_n,tcp_mean_error_mm,tcp_max_error_mm,orientation_mean_error_deg,orientation_max_error_deg,max_actuator_torque_nm,minimum_sigma,maximum_condition,post_solve_clipping,hqp_motor_bound_violation_nm
97D computed torque,True,40.28499999997595,0.3222465985310221,0.5018457947892625,2.940243995692521,0.19139144767932642,1.080678170424965,0.06861737547171813,0.35888417330999484,39.86719437245899,0.14002348840373946,13.402213176810516,True,nan
105 TSID/HQP,True,40.28499999997595,0.3121147154840142,0.48437867552727126,2.6716657569586597,0.19326193315419157,1.107309304824866,0.0692745494836354,0.36111509655999097,39.867688692615125,0.1400149942038615,13.403005570234521,False,0.0
