index,row_id,phase,x,y,z_reconstructed,nx,ny,nz,fit_rms_m,fit_weight,measurement_quality
0,0,0,0.1,-0.31,0.7987149279607129,-0.28500045493687,-0.2954967812957426,0.9118423070518461,5.66146983915463e-05,35.354272855365814,0.9978286116125551
1,0,0,0.10166666666666667,-0.31,0.799242500126778,-0.27925551845271956,-0.2946115576377192,0.9139039257602407,5.475038926634247e-05,34.39309384512654,0.8096476292406726
2,0,0,0.10333333333333333,-0.31,0.7997495962617065,-0.27400427457094145,-0.29345145947148904,0.9158645633776346,5.473244612890453e-05,35.0669421361335,0.6891468028622422
3,0,0,0.10500000000000001,-0.31,0.8002454623239527,-0.2687494662699104,-0.29229355911871063,0.9177898450502464,5.475844983558961e-05,35.73643019087727,0.5926348073410145
4,0,0,0.10666666666666667,-0.31,0.8007319854740369,-0.26328897169086324,-0.2912433829940805,0.9197044140636333,5.407133034778377e-05,36.22069868065904,0.5410481606031837
5,0,0,0.10833333333333334,-0.31,0.8012066447789382,-0.2579877620710015,-0.2900444270680941,0.9215837156484142,5.383506394078413e-05,36.70296952215101,0.4912323524100278
6,0,0,0.11000000000000001,-0.31,0.80167018911019,-0.25270090906600545,-0.288853412766607,0.9234207905880712,5.35014522026039e-05,37.059232199010935,0.4400399016251167
7,0,0,0.11166666666666668,-0.31,0.8021226629919634,-0.2474002606590988,-0.28767240148894535,0.925223054429251,5.341588537201881e-05,37.567032973038536,0.5299502038458674
8,0,0,0.11333333333333334,-0.31,0.8025626234121447,-0.24224648874433616,-0.28670563502284574,0.9268853853293766,5.249574413470268e-05,38.04414225789959,0.4577565280155215
9,0,0,0.115,-0.31,0.802994106099886,-0.23693509342858657,-0.2855145322085381,0.9286243661458203,5.2310539331245577e-05,38.40282389616774,0.3963056480611148
10,0,0,0.11666666666666667,-0.31,0.803414791923122,-0.23162076049431435,-0.28433596169213,0.9303251497173702,5.226514435095819e-05,38.81682685960425,0.46974986248897765
11,0,0,0.11833333333333335,-0.31,0.8038240928383467,-0.22634850084027902,-0.2834468296548123,0.9318928323181771,5.1499531084184316e-05,38.951690148835986,0.35224769562184305
12,0,0,0.12000000000000001,-0.31,0.8042239134779425,-0.22101760366744325,-0.28225743254558266,0.933531981584925,5.1461793009406494e-05,39.28710975473194,0.38011028697724714
13,0,0,0.12166666666666667,-0.31,0.8046080158126275,-0.21539692730828713,-0.2810552562316683,0.9352069859933145,5.271514811729946e-05,40.29679799738375,0.3626421217941285
14,0,0,0.12333333333333335,-0.31,0.8049845029673716,-0.2099873325515109,-0.2794924684517024,0.9369040934090722,5.3747465860893345e-05,40.910174178263404,0.3724845430092112
15,0,0,0.125,-0.31,0.8053488925244597,-0.20457704242225438,-0.27810449358174494,0.938512719340236,5.5228992973870386e-05,41.5532529640801,0.3822724337170741
16,0,0,0.12666666666666668,-0.31,0.8057021565955461,-0.19926877010255736,-0.27669717362201657,0.940069482204056,5.6492706321359853e-05,41.873753821829,0.3961694804023559
17,0,0,0.12833333333333335,-0.31,0.8060451758990423,-0.1940983501800184,-0.27544201638299964,0.941518733785081,5.898731647169134e-05,42.66080888680143,0.5477017127915754
18,0,0,0.13,-0.31,0.8063775726422172,-0.1888818048565407,-0.2743880693797831,0.9428864465969224,6.028434153042237e-05,43.40632653212212,0.34179048689229197
19,0,0,0.13166666666666668,-0.31,0.8067017078564399,-0.18376755406588047,-0.2732298178224927,0.9442324675234014,6.163942279415121e-05,44.037039850118134,0.5269999964644134
