index,time,row_id,phase,x_command,y_command,z_measured,force_vertical,force_x_world,force_y_world,force_z_world,force_tangential,tcp_tracking_error,orientation_error_deg
0,8.94700000000048,0,0,0.1,-0.31,0.7985868074487191,0.9905926234537171,-0.29200920679236225,-0.3216863319716829,0.9905926234537171,0.434455375187027,2.196479771863644e-05,0.009954187102639959
1,9.740000000000041,0,0,0.10166666666666667,-0.31,0.7990736033372052,1.2505896400992569,-1.1004935543077092,-0.4460855244608142,1.2505896400992569,1.1874672030023796,0.0001136470620183411,0.05003598949539511
2,9.960999999999919,0,0,0.10333333333333333,-0.31,0.7996231682106003,1.376512358637422,-1.2827018225061926,-0.5605013895235488,1.376512358637422,1.3998163354949595,0.00010136840900574505,0.04115796397664156
3,10.12099999999983,0,0,0.10500000000000001,-0.31,0.800173264128207,1.4877919690921968,-1.3630821612158934,-0.5963669432454651,1.4877919690921968,1.487832823008328,6.307564376312542e-05,0.02830400054143951
4,10.249999999999758,0,0,0.10666666666666667,-0.31,0.8006977189081316,1.5505071968981943,-1.3938670587168147,-0.6090171271130792,1.5505071968981943,1.5211072409573667,2.955662178270062e-05,0.014797295100474752
5,10.361999999999696,0,0,0.10833333333333334,-0.31,0.8012009739548661,1.6096774875700701,-1.4208277003281287,-0.6201297424950286,1.6096774875700701,1.550261994485664,1.9771354893521435e-05,0.008716711161355766
6,10.461999999999641,0,0,0.11000000000000001,-0.31,0.8016870917072724,1.6757747436847292,-1.4538678339547795,-0.6342204863352089,1.6757747436847292,1.586180098190502,2.0967284750404853e-05,0.0076574570155752445
7,10.551999999999591,0,0,0.11166666666666668,-0.31,0.8021525848421737,1.5642037322082964,-1.3663898558326741,-0.6042702225592361,1.5642037322082964,1.494042750390438,1.9036370066925843e-05,0.0063210114876601844
8,10.634999999999545,0,0,0.11333333333333334,-0.31,0.8026039434563593,1.6515273068799114,-1.397527400769704,-0.6128031555802623,1.6515273068799114,1.525978552729773,2.496952881917701e-05,0.007647349991887784
9,10.712999999999502,0,0,0.115,-0.31,0.8030459864483562,1.7387651096921417,-1.4368501800492028,-0.6271598231273237,1.7387651096921417,1.5677588729305671,2.687014277215735e-05,0.008719311955938586
10,10.785999999999461,0,0,0.11666666666666667,-0.31,0.803472599188696,1.6342521564013999,-1.3578097307760908,-0.6006235515610814,1.6342521564013999,1.4847208207875604,3.662265297786504e-05,0.011753471281078821
11,10.854999999999423,0,0,0.11833333333333335,-0.31,0.8038791771374456,1.8098575866353879,-1.4437076473576795,-0.6287662414877838,1.8098575866353879,1.5746868760085986,3.886803971898141e-05,0.013874053872847585
12,10.920999999999387,0,0,0.12000000000000001,-0.31,0.8042818449320215,1.764000404126241,-1.4066523998741887,-0.6187181608598186,1.764000404126241,1.5367117936196009,2.9998330181437506e-05,0.011963347995793476
13,10.983999999999352,0,0,0.12166666666666667,-0.31,0.8046652613790124,1.7816724130598232,-1.3733774028511383,-0.5972398962882614,1.7816724130598232,1.4976184375135582,7.475021983493124e-05,0.023570614419483063
14,11.043999999999318,0,0,0.12333333333333335,-0.31,0.8050414504132527,1.773098715843964,-1.3672898666674231,-0.6009977000059651,1.773098715843964,1.4935460538275611,4.793316678294145e-05,0.01846504293624312
15,11.102999999999286,0,0,0.125,-0.31,0.8054137241461605,1.7543194893612293,-1.3350200204272316,-0.5880114437144083,1.7543194893612293,1.4587789115834615,5.855013720319145e-05,0.020793798041217136
16,11.158999999999255,0,0,0.12666666666666668,-0.31,0.8057662645122756,1.7293718228422263,-1.3023921363814404,-0.5757478585210025,1.7293718228422263,1.4239771323654506,6.845316054204446e-05,0.023661419678514123
17,11.213999999999224,0,0,0.12833333333333335,-0.31,0.8061117169877701,1.5309658231821361,-1.1789932690775502,-0.5340507534667288,1.5309658231821361,1.2943088255159778,7.736202859060382e-05,0.026586113969329913
