index,s_m,x_m,y_m,z_m,normal_x,normal_y,normal_z,motion_tangent_x,motion_tangent_y,motion_tangent_z,tool_z_x,tool_z_y,tool_z_z,row_id,phase
0,0.0,0.1,-0.31,0.797971341722775,-0.3174433155949317,-0.3386062033012605,0.8857627111535019,0.9431914001949667,0.0,0.3322498797565747,0.3174433155949317,0.3386062033012605,-0.8857627111535019,0,0
1,0.001767050321199014,0.10166666666666667,-0.31,0.7985584439795171,-0.3083436024238684,-0.334474416188603,0.8905341586708309,0.9449358436861985,-1.4211052841275793e-14,0.3272556360355801,0.3083436024238684,0.334474416188603,-0.8905341586708309,0,0
2,0.0035276491274019465,0.10333333333333333,-0.31,0.7991258330687896,-0.29956643829790514,-0.33055606984596425,0.8949819181042136,0.9482678673982633,0.0,0.3174713399032259,0.29956643829790514,0.33055606984596425,-0.8949819181042136,0,0
3,0.005282296566597318,0.10500000000000001,-0.31,0.7996744767218988,-0.2910882017626185,-0.326835875663291,0.8991362350467335,0.9513666872528613,0.0,0.3080607511279493,0.2910882017626185,0.326835875663291,-0.8991362350467335,0,0
4,0.007031439064413511,0.10666666666666667,-0.31,0.8002052513443978,-0.28288756580479163,-0.32330007520547616,0.9030236356182342,0.9542547403814411,0.0,0.2989948000543633,0.28288756580479163,0.32330007520547616,-0.9030236356182342,0,0
5,0.008775476826722224,0.10833333333333334,-0.31,0.8007189535330062,-0.2749452152390956,-0.3199362504600385,0.9066674827403367,0.9569516360501437,1.4210998001601798e-14,0.2902474224880447,0.2749452152390956,0.3199362504600385,-0.9066674827403367,0,0
6,0.01051477007676867,0.11000000000000001,-0.31,0.8012163097754313,-0.2672436055235303,-0.3167331621019619,0.9100884348961238,0.9594745874695622,0.0,0.28179516674370664,0.2672436055235303,0.3167331621019619,-0.9100884348961238,0,0
7,0.012249644275046531,0.11166666666666668,-0.31,0.8016979846720914,-0.25976675599980625,-0.31368061101863404,0.9133048268504407,0.9618387666106757,-1.421097903938862e-14,0.27361686176998323,0.25976675599980625,0.31368061101863404,-0.9133048268504407,0,0
8,0.013980394515066634,0.11333333333333334,-0.31,0.8021645879463533,-0.2525000718873324,-0.31076931924594764,0.9163329874626921,0.9640575976122381,-1.4210971025923404e-14,0.2656933354190878,0.2525000718873324,0.31076931924594764,-0.9163329874626921,0,0
9,0.015707289246646716,0.115,-0.31,0.8026166804547863,-0.2454301904116358,-0.30799082718322923,0.9191875064455012,0.9661430008536576,-1.4210963822064585e-14,0.25800717412794866,0.2454301904116358,0.30799082718322923,-0.9191875064455012,0,0
10,0.017430573446739768,0.11666666666666667,-0.31,0.8030547793665774,-0.23854484728412356,-0.3053374045236782,0.9218814594257431,0.9681055971230158,0.0,0.2505425169888116,0.23854484728412356,0.3053374045236782,-0.9218814594257431,0,0
11,0.019150471333526486,0.11833333333333335,-0.31,0.803479362648391,-0.2318327604186678,-0.3028019727917294,0.9244265987465404,0.969954879301118,0.0,0.24328487852711603,0.2318327604186678,0.3028019727917294,-0.9244265987465404,0,0
12,0.020867188700674444,0.12000000000000001,-0.31,0.8038908729652601,-0.22528352830811155,-0.30037803774414873,0.9268335159639097,0.9716993574432092,0.0,0.23622099556232135,0.22528352830811155,0.30037803774414873,-0.9268335159639097,0,0
13,0.022580914933961964,0.12166666666666667,-0.31,0.8042897210878331,-0.21888754091854087,-0.2980596301869493,0.9291117808334222,0.9733466819517862,0.0,0.22933869436588394,0.21888754091854087,0.2980596301869493,-0.9291117808334222,0,0
14,0.024291824760889667,0.12333333333333335,-0.31,0.8046762888802059,-0.21263590131257876,-0.29584125400010963,0.9312700606723218,0.9749037486089851,0.0,0.22262677500280323,0.21263590131257876,0.29584125400010963,-0.9312700606723218,0,0
15,0.02600007977473048,0.125,-0.31,0.8050509319297005,-0.20652035650161704,-0.2937178403578553,0.9333162232630281,0.9763767885131688,-1.4210932823927334e-14,0.2160749102804646,0.20652035650161704,0.2937178403578553,-0.9333162232630281,0,0
16,0.027705829767147805,0.12666666666666668,-0.31,0.8054139818695901,-0.20053323626388073,-0.2916847072929175,0.935257425891385,0.977771445392784,1.4210929129661744e-14,0.20967355716567057,0.20053323626388073,0.2916847072929175,-0.935257425891385,0,0
17,0.029409213897634016,0.12833333333333335,-0.31,0.8057657484373797,-0.19466739886057405,-0.28973752388550567,0.9371001926547419,0.9790928423174985,0.0,0.20341387888401813,0.19466739886057405,0.28973752388550567,-0.9371001926547419,0,0
18,0.031110361723274842,0.13,-0.31,0.8061065213044111,-0.188916182744139,-0.28787227846725943,0.9388504818060497,0.9803456394650351,0.0,0.1972876762037901,0.188916182744139,0.28787227846725943,-0.9388504818060497,0,0
19,0.032809394108488064,0.13166666666666668,-0.31,0.8064365717069643,-0.18327336348718343,-0.2860852503214571,0.9405137446016427,0.9815340843114004,0.0,0.19128732664497303,0.18327336348718343,0.2860852503214571,-0.9405137446016427,0,0
20,0.03450642403123631,0.13333333333333336,-0.31,0.8067561539044114,-0.17773311527292018,-0.2843729844366724,0.9420949768775773,0.9826620553779157,-1.421091711255851e-14,0.1854057305491123,0.17773311527292018,0.2843729844366724,-0.9420949768775773,0,0
21,0.03620155729962989,0.135,-0.31,0.8070655064861639,-0.17228997638205756,-0.2827322689346586,0.9435987643809894,0.9837331004787389,0.0,0.1796362631054419,0.17228997638205756,0.2827322689346586,-0.9435987643809894,0,0
22,0.03789489319070337,0.1366666666666667,-0.31,0.8073648535459788,-0.16693881819021703,-0.28116011484668135,0.9450293227200174,0.9847504702569496,-1.4210912409496778e-14,0.1739727315665208,0.16693881819021703,0.28116011484668135,-0.9450293227200174,0,0
23,0.03958652502138412,0.13833333333333336,-0.31,0.8076544057395372,-0.16167481725673113,-0.27965373795758913,0.9463905326615174,0.9857171476711918,0.0,0.16840933699462746,0.16167481725673113,0.27965373795758913,-0.9463905326615174,0,0
24,0.0412765406602026,0.14,-0.31,0.807934361238989,-0.15649343014221712,-0.27821054247505267,0.9476859713945648,0.9866358739896984,0.0,0.16294063997844066,0.15649343014221712,0.27821054247505267,-0.9476859713945648,0,0
25,0.04296502298706541,0.14166666666666666,-0.31,0.8082049065962774,-0.15139037064035918,-0.2768281063137996,0.9489189402852545,0.9875091717631904,0.0,0.15756152983383268,0.15139037064035918,0.2768281063137996,-0.9489189402852545,0,0
26,0.04465205030738296,0.14333333333333334,-0.31,0.8084662175254786,-0.1463615891502546,-0.27550416781224396,0.9500924895711443,0.9883393651759069,0.0,0.15226719687340828,0.1463615891502546,0.27550416781224396,-0.9500924895711443,0,0
