case,pass,offset_x_mm,offset_z_mm,tilt_y_deg,friction,force_mean_error_n,force_max_error_n,tcp_mean_error_mm,tcp_max_error_mm,orientation_max_error_deg,learned_normal_max_deviation_deg,tilt_correction_max_deg,normal_correction_min_mm,normal_correction_max_mm,sigma_min,condition_max,max_actuator_torque_nm,max_motor_bound_violation_nm
nominal,True,0.0,0.0,0.0,0.3,0.3121147154840142,2.6716657569586597,0.19326193315419157,1.107309304824866,0.36111509655999097,0.36581875248061924,0.018918159814229587,-0.0038003255227031674,0.7674804929192074,0.1400149942038615,13.403005570234521,39.867688692615125,0.0
offset_z_plus_1mm,True,0.0,1.0,0.0,0.3,0.3169577335582589,2.8883443593825726,0.19209887179286939,1.0683327656995334,0.3615606122978163,0.3661601337619271,0.01956621873922044,-1.0018710049901545,-0.12000673645661714,0.13996157541591175,13.407504698912149,39.896461532274245,0.0
offset_z_minus_1mm,True,0.0,-1.0,0.0,0.3,0.319072093838176,2.674812024306001,0.19346596358377288,1.0802043126737917,0.3613805535323203,0.3662683569089744,0.01828337535613086,0.9958571244486345,1.6561686854825874,0.14007712317959764,13.397743223883564,39.841540669945886,0.0
offset_x_plus_1mm,True,1.0,0.0,0.0,0.3,0.3199506025679796,2.6759345182545102,0.19457544043367034,1.1203154459165627,0.3596711446257717,0.3645809070650028,0.01837239666319635,-0.15813247063384236,0.9958534971750408,0.14004640174021704,13.40026387808669,39.87258913778713,0.0
tilt_y_plus_1deg,True,0.0,0.0,1.0,0.3,0.3105853750836721,2.86803248025414,0.1933104914600931,1.100313916991365,0.35646420966238124,0.362103933349873,0.018520418564821468,-1.42967110669943,2.1315500150618845,0.1399254644280792,13.410579977364895,39.833722271468915,0.0
friction_low_0p15,True,0.0,0.0,0.0,0.15,0.3121147154840142,2.6716657569586597,0.19326193315419157,1.107309304824866,0.36111509655999097,0.36581875248061924,0.018918159814229587,-0.0038003255227031674,0.7674804929192074,0.1400149942038615,13.403005570234521,39.867688692615125,0.0
friction_high_0p60,False,0.0,0.0,0.0,0.6,0.5284828100909891,7.075784851418696,0.2892564730684966,1.476352795292501,0.4832739445394676,0.4931240848313117,0.01956083345020866,-0.001048381212974923,0.8046688383674568,0.1399919679717817,13.405387252916604,39.93390877987407,0.0
